label,category,cost,throughput_kinfs,latency_ms,embed_gb,gpu,cpu,num_gpus,num_nodes,cgra,interconnect,bottleneck
8x4-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,7100,1100.1574590833434,5.525071421407339,16,RTX PRO 4500,Xeon-4ch,1,8,,PCIe5,CPU embed
8x4-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,7100,1100.1574590833434,4.73368781251845,16,RTX PRO 4500,Xeon-4ch,1,8,,NVLink,CPU embed
16x4-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,13500,2177.556304973343,4.534943618790432,16,RTX PRO 4500,Xeon-4ch,1,16,,PCIe4,CPU embed
16x4-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,13500,2177.556304973343,3.6829756187904326,16,RTX PRO 4500,Xeon-4ch,1,16,,PCIe5,CPU embed
16x4-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,13500,2177.556304973343,2.8915920099015433,16,RTX PRO 4500,Xeon-4ch,1,16,,NVLink,CPU embed
1x4-ch DDR5+RTX 4090@PCIe4,CPU+GPU,2600,141.87674313990107,31.01430977256889,16,RTX 4090,Xeon-4ch,1,1,,PCIe4,CPU embed
1x4-ch DDR5+RTX 4090@PCIe5,CPU+GPU,2600,141.87674313990107,30.16234177256889,16,RTX 4090,Xeon-4ch,1,1,,PCIe5,CPU embed
1x4-ch DDR5+RTX 4090@NVLink,CPU+GPU,2600,141.87674313990107,29.37095816368,16,RTX 4090,Xeon-4ch,1,1,,NVLink,CPU embed
2x4-ch DDR5+RTX 4090@PCIe4,CPU+GPU,3400,280.8185264778272,16.73011214620575,16,RTX 4090,Xeon-4ch,1,2,,PCIe4,CPU embed
2x4-ch DDR5+RTX 4090@PCIe5,CPU+GPU,3400,280.8185264778272,15.878144146205749,16,RTX 4090,Xeon-4ch,1,2,,PCIe5,CPU embed
2x4-ch DDR5+RTX 4090@NVLink,CPU+GPU,3400,280.8185264778272,15.086760537316861,16,RTX 4090,Xeon-4ch,1,2,,NVLink,CPU embed
4x4-ch DDR5+RTX 4090@PCIe4,CPU+GPU,5000,555.8278479469835,9.513368069475032,16,RTX 4090,Xeon-4ch,1,4,,PCIe4,CPU embed
4x4-ch DDR5+RTX 4090@PCIe5,CPU+GPU,5000,555.8278479469835,8.66140006947503,16,RTX 4090,Xeon-4ch,1,4,,PCIe5,CPU embed
4x4-ch DDR5+RTX 4090@NVLink,CPU+GPU,5000,555.8278479469835,7.870016460586143,16,RTX 4090,Xeon-4ch,1,4,,NVLink,CPU embed
8x4-ch DDR5+RTX 4090@PCIe4,CPU+GPU,8200,1100.1574590833434,5.867283323846363,16,RTX 4090,Xeon-4ch,1,8,,PCIe4,CPU embed
8x4-ch DDR5+RTX 4090@PCIe5,CPU+GPU,8200,1100.1574590833434,5.015315323846363,16,RTX 4090,Xeon-4ch,1,8,,PCIe5,CPU embed
8x4-ch DDR5+RTX 4090@NVLink,CPU+GPU,8200,1100.1574590833434,4.223931714957474,16,RTX 4090,Xeon-4ch,1,8,,NVLink,CPU embed
16x4-ch DDR5+RTX 4090@PCIe4,CPU+GPU,14600,2177.556304973343,4.025187521229457,16,RTX 4090,Xeon-4ch,1,16,,PCIe4,CPU embed
16x4-ch DDR5+RTX 4090@PCIe5,CPU+GPU,14600,2177.556304973343,3.173219521229457,16,RTX 4090,Xeon-4ch,1,16,,PCIe5,CPU embed
16x4-ch DDR5+RTX 4090@NVLink,CPU+GPU,14600,2177.556304973343,2.3818359123405677,16,RTX 4090,Xeon-4ch,1,16,,NVLink,CPU embed
