label,category,cost,throughput_kinfs,latency_ms,embed_gb,gpu,cpu,num_gpus,num_nodes,cgra,interconnect,bottleneck
1x4-ch DDR5+RTX 5090@NVLink,CPU+GPU,3580,141.87674313990107,29.274523785050498,100,RTX 5090,Xeon-4ch,1,1,,NVLink,CPU embed
2x4-ch DDR5+RTX 5090@PCIe4,CPU+GPU,4100,280.8185264778272,16.63367776757625,100,RTX 5090,Xeon-4ch,1,2,,PCIe4,CPU embed
2x4-ch DDR5+RTX 5090@PCIe5,CPU+GPU,4100,280.8185264778272,15.781709767576249,100,RTX 5090,Xeon-4ch,1,2,,PCIe5,CPU embed
2x4-ch DDR5+RTX 5090@NVLink,CPU+GPU,4100,280.8185264778272,14.990326158687362,100,RTX 5090,Xeon-4ch,1,2,,NVLink,CPU embed
4x4-ch DDR5+RTX 5090@PCIe4,CPU+GPU,5700,555.8278479469835,9.416933690845532,100,RTX 5090,Xeon-4ch,1,4,,PCIe4,CPU embed
4x4-ch DDR5+RTX 5090@PCIe5,CPU+GPU,5700,555.8278479469835,8.564965690845531,100,RTX 5090,Xeon-4ch,1,4,,PCIe5,CPU embed
4x4-ch DDR5+RTX 5090@NVLink,CPU+GPU,5700,555.8278479469835,7.773582081956643,100,RTX 5090,Xeon-4ch,1,4,,NVLink,CPU embed
8x4-ch DDR5+RTX 5090@PCIe4,CPU+GPU,8900,1100.1574590833434,5.770848945216862,100,RTX 5090,Xeon-4ch,1,8,,PCIe4,CPU embed
8x4-ch DDR5+RTX 5090@PCIe5,CPU+GPU,8900,1100.1574590833434,4.918880945216863,100,RTX 5090,Xeon-4ch,1,8,,PCIe5,CPU embed
8x4-ch DDR5+RTX 5090@NVLink,CPU+GPU,8900,1100.1574590833434,4.127497336327973,100,RTX 5090,Xeon-4ch,1,8,,NVLink,CPU embed
16x4-ch DDR5+RTX 5090@PCIe4,CPU+GPU,15300,2177.556304973343,3.9287531425999562,100,RTX 5090,Xeon-4ch,1,16,,PCIe4,CPU embed
16x4-ch DDR5+RTX 5090@PCIe5,CPU+GPU,15300,2177.556304973343,3.0767851425999564,100,RTX 5090,Xeon-4ch,1,16,,PCIe5,CPU embed
16x4-ch DDR5+RTX 5090@NVLink,CPU+GPU,15300,2177.556304973343,2.285401533711067,100,RTX 5090,Xeon-4ch,1,16,,NVLink,CPU embed
1x4-ch DDR5+A100 40GB@PCIe4,CPU+GPU,11080,141.87674313990107,30.81473253679653,100,A100 40GB,Xeon-4ch,1,1,,PCIe4,CPU embed
1x4-ch DDR5+A100 40GB@PCIe5,CPU+GPU,11080,141.87674313990107,29.96276453679653,100,A100 40GB,Xeon-4ch,1,1,,PCIe5,CPU embed
1x4-ch DDR5+A100 40GB@NVLink,CPU+GPU,11080,141.87674313990107,29.17138092790764,100,A100 40GB,Xeon-4ch,1,1,,NVLink,CPU embed
2x4-ch DDR5+A100 40GB@PCIe4,CPU+GPU,11600,280.8185264778272,16.530534910433392,100,A100 40GB,Xeon-4ch,1,2,,PCIe4,CPU embed
2x4-ch DDR5+A100 40GB@PCIe5,CPU+GPU,11600,280.8185264778272,15.678566910433391,100,A100 40GB,Xeon-4ch,1,2,,PCIe5,CPU embed
2x4-ch DDR5+A100 40GB@NVLink,CPU+GPU,11600,280.8185264778272,14.887183301544503,100,A100 40GB,Xeon-4ch,1,2,,NVLink,CPU embed
4x4-ch DDR5+A100 40GB@PCIe4,CPU+GPU,13200,555.8278479469835,9.313790833702674,100,A100 40GB,Xeon-4ch,1,4,,PCIe4,CPU embed
4x4-ch DDR5+A100 40GB@PCIe5,CPU+GPU,13200,555.8278479469835,8.461822833702673,100,A100 40GB,Xeon-4ch,1,4,,PCIe5,CPU embed
4x4-ch DDR5+A100 40GB@NVLink,CPU+GPU,13200,555.8278479469835,7.670439224813785,100,A100 40GB,Xeon-4ch,1,4,,NVLink,CPU embed
8x4-ch DDR5+A100 40GB@PCIe4,CPU+GPU,16400,1100.1574590833434,5.667706088074005,100,A100 40GB,Xeon-4ch,1,8,,PCIe4,CPU embed
8x4-ch DDR5+A100 40GB@PCIe5,CPU+GPU,16400,1100.1574590833434,4.8157380880740055,100,A100 40GB,Xeon-4ch,1,8,,PCIe5,CPU embed
8x4-ch DDR5+A100 40GB@NVLink,CPU+GPU,16400,1100.1574590833434,4.024354479185116,100,A100 40GB,Xeon-4ch,1,8,,NVLink,CPU embed
16x4-ch DDR5+A100 40GB@PCIe4,CPU+GPU,22800,2177.556304973343,3.825610285457099,100,A100 40GB,Xeon-4ch,1,16,,PCIe4,CPU embed
16x4-ch DDR5+A100 40GB@PCIe5,CPU+GPU,22800,2177.556304973343,2.973642285457099,100,A100 40GB,Xeon-4ch,1,16,,PCIe5,CPU embed
16x4-ch DDR5+A100 40GB@NVLink,CPU+GPU,22800,2177.556304973343,2.18225867656821,100,A100 40GB,Xeon-4ch,1,16,,NVLink,CPU embed
1x4-ch DDR5+A100 80GB@PCIe4,CPU+GPU,16080,141.87674313990107,30.81473253679653,100,A100 80GB,Xeon-4ch,1,1,,PCIe4,CPU embed
1x4-ch DDR5+A100 80GB@PCIe5,CPU+GPU,16080,141.87674313990107,29.96276453679653,100,A100 80GB,Xeon-4ch,1,1,,PCIe5,CPU embed
1x4-ch DDR5+A100 80GB@NVLink,CPU+GPU,16080,141.87674313990107,29.17138092790764,100,A100 80GB,Xeon-4ch,1,1,,NVLink,CPU embed
2x4-ch DDR5+A100 80GB@PCIe4,CPU+GPU,16600,280.8185264778272,16.530534910433392,100,A100 80GB,Xeon-4ch,1,2,,PCIe4,CPU embed
2x4-ch DDR5+A100 80GB@PCIe5,CPU+GPU,16600,280.8185264778272,15.678566910433391,100,A100 80GB,Xeon-4ch,1,2,,PCIe5,CPU embed
2x4-ch DDR5+A100 80GB@NVLink,CPU+GPU,16600,280.8185264778272,14.887183301544503,100,A100 80GB,Xeon-4ch,1,2,,NVLink,CPU embed
4x4-ch DDR5+A100 80GB@PCIe4,CPU+GPU,18200,555.8278479469835,9.313790833702674,100,A100 80GB,Xeon-4ch,1,4,,PCIe4,CPU embed
4x4-ch DDR5+A100 80GB@PCIe5,CPU+GPU,18200,555.8278479469835,8.461822833702673,100,A100 80GB,Xeon-4ch,1,4,,PCIe5,CPU embed
4x4-ch DDR5+A100 80GB@NVLink,CPU+GPU,18200,555.8278479469835,7.670439224813785,100,A100 80GB,Xeon-4ch,1,4,,NVLink,CPU embed
8x4-ch DDR5+A100 80GB@PCIe4,CPU+GPU,21400,1100.1574590833434,5.667706088074005,100,A100 80GB,Xeon-4ch,1,8,,PCIe4,CPU embed
8x4-ch DDR5+A100 80GB@PCIe5,CPU+GPU,21400,1100.1574590833434,4.8157380880740055,100,A100 80GB,Xeon-4ch,1,8,,PCIe5,CPU embed
8x4-ch DDR5+A100 80GB@NVLink,CPU+GPU,21400,1100.1574590833434,4.024354479185116,100,A100 80GB,Xeon-4ch,1,8,,NVLink,CPU embed
16x4-ch DDR5+A100 80GB@PCIe4,CPU+GPU,27800,2177.556304973343,3.825610285457099,100,A100 80GB,Xeon-4ch,1,16,,PCIe4,CPU embed
16x4-ch DDR5+A100 80GB@PCIe5,CPU+GPU,27800,2177.556304973343,2.973642285457099,100,A100 80GB,Xeon-4ch,1,16,,PCIe5,CPU embed
16x4-ch DDR5+A100 80GB@NVLink,CPU+GPU,27800,2177.556304973343,2.18225867656821,100,A100 80GB,Xeon-4ch,1,16,,NVLink,CPU embed
1x6-ch DDR5+RTX 4060@PCIe4,CPU+GPU,1780,276.3832658569501,18.328936,100,RTX 4060,Xeon-6ch,1,1,,PCIe4,CPU embed
1x6-ch DDR5+RTX 4060@PCIe5,CPU+GPU,1780,276.3832658569501,17.476968,100,RTX 4060,Xeon-6ch,1,1,,PCIe5,CPU embed
1x6-ch DDR5+RTX 4060@NVLink,CPU+GPU,1780,276.3832658569501,16.68558439111111,100,RTX 4060,Xeon-6ch,1,1,,NVLink,CPU embed
2x6-ch DDR5+RTX 4060@PCIe4,CPU+GPU,2700,547.0490775542089,10.996381218466919,100,RTX 4060,Xeon-6ch,1,2,,PCIe4,CPU embed
2x6-ch DDR5+RTX 4060@PCIe5,CPU+GPU,2700,547.0490775542089,10.14441321846692,100,RTX 4060,Xeon-6ch,1,2,,PCIe5,CPU embed
2x6-ch DDR5+RTX 4060@NVLink,CPU+GPU,2700,547.0490775542089,9.35302960957803,100,RTX 4060,Xeon-6ch,1,2,,NVLink,CPU embed
4x6-ch DDR5+RTX 4060@PCIe4,CPU+GPU,5100,1082.781521974643,7.291785925745151,100,RTX 4060,Xeon-6ch,1,4,,PCIe4,CPU embed
4x6-ch DDR5+RTX 4060@PCIe5,CPU+GPU,5100,1082.781521974643,6.439817925745151,100,RTX 4060,Xeon-6ch,1,4,,PCIe5,CPU embed
4x6-ch DDR5+RTX 4060@NVLink,CPU+GPU,5100,1082.781521974643,5.648434316856262,100,RTX 4060,Xeon-6ch,1,4,,NVLink,CPU embed
8x6-ch DDR5+RTX 4060@PCIe4,CPU+GPU,9900,2143.1638813311883,5.4201290896557675,100,RTX 4060,Xeon-6ch,1,8,,PCIe4,CPU embed
8x6-ch DDR5+RTX 4060@PCIe5,CPU+GPU,9900,2143.1638813311883,4.568161089655767,100,RTX 4060,Xeon-6ch,1,8,,PCIe5,CPU embed
8x6-ch DDR5+RTX 4060@NVLink,CPU+GPU,9900,2143.1638813311883,3.7767774807668784,100,RTX 4060,Xeon-6ch,1,8,,NVLink,CPU embed
16x6-ch DDR5+RTX 4060@PCIe4,CPU+GPU,19500,2269.2520775623266,4.4745199109790885,100,RTX 4060,Xeon-6ch,1,16,,PCIe4,GPU MLP
16x6-ch DDR5+RTX 4060@PCIe5,CPU+GPU,19500,2269.2520775623266,3.622551910979089,100,RTX 4060,Xeon-6ch,1,16,,PCIe5,GPU MLP
16x6-ch DDR5+RTX 4060@NVLink,CPU+GPU,19500,2269.2520775623266,2.8311683020902,100,RTX 4060,Xeon-6ch,1,16,,NVLink,GPU MLP
1x6-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,2180,276.3832658569501,17.473936,100,RTX PRO 4500,Xeon-6ch,1,1,,PCIe4,CPU embed
1x6-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,2180,276.3832658569501,16.621968,100,RTX PRO 4500,Xeon-6ch,1,1,,PCIe5,CPU embed
1x6-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,2180,276.3832658569501,15.83058439111111,100,RTX PRO 4500,Xeon-6ch,1,1,,NVLink,CPU embed
2x6-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,3100,547.0490775542089,10.141381218466918,100,RTX PRO 4500,Xeon-6ch,1,2,,PCIe4,CPU embed
2x6-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,3100,547.0490775542089,9.289413218466919,100,RTX PRO 4500,Xeon-6ch,1,2,,PCIe5,CPU embed
2x6-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,3100,547.0490775542089,8.49802960957803,100,RTX PRO 4500,Xeon-6ch,1,2,,NVLink,CPU embed
4x6-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,5500,1082.781521974643,6.436785925745151,100,RTX PRO 4500,Xeon-6ch,1,4,,PCIe4,CPU embed
4x6-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,5500,1082.781521974643,5.584817925745151,100,RTX PRO 4500,Xeon-6ch,1,4,,PCIe5,CPU embed
4x6-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,5500,1082.781521974643,4.793434316856262,100,RTX PRO 4500,Xeon-6ch,1,4,,NVLink,CPU embed
8x6-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,10300,2143.1638813311883,4.565129089655767,100,RTX PRO 4500,Xeon-6ch,1,8,,PCIe4,CPU embed
8x6-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,10300,2143.1638813311883,3.7131610896557676,100,RTX PRO 4500,Xeon-6ch,1,8,,PCIe5,CPU embed
8x6-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,10300,2143.1638813311883,2.9217774807668784,100,RTX PRO 4500,Xeon-6ch,1,8,,NVLink,CPU embed
16x6-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,19900,2403.846153846154,3.619519910979089,100,RTX PRO 4500,Xeon-6ch,1,16,,PCIe4,transfer
16x6-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,19900,4241.992801896121,2.7675519109790887,100,RTX PRO 4500,Xeon-6ch,1,16,,PCIe5,CPU embed
16x6-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,19900,4241.992801896121,1.9761683020902,100,RTX PRO 4500,Xeon-6ch,1,16,,NVLink,CPU embed
1x6-ch DDR5+RTX 4090@PCIe4,CPU+GPU,3280,276.3832658569501,16.964179902439025,100,RTX 4090,Xeon-6ch,1,1,,PCIe4,CPU embed
1x6-ch DDR5+RTX 4090@PCIe5,CPU+GPU,3280,276.3832658569501,16.11221190243902,100,RTX 4090,Xeon-6ch,1,1,,PCIe5,CPU embed
1x6-ch DDR5+RTX 4090@NVLink,CPU+GPU,3280,276.3832658569501,15.320828293550134,100,RTX 4090,Xeon-6ch,1,1,,NVLink,CPU embed
2x6-ch DDR5+RTX 4090@PCIe4,CPU+GPU,4200,547.0490775542089,9.631625120905943,100,RTX 4090,Xeon-6ch,1,2,,PCIe4,CPU embed
2x6-ch DDR5+RTX 4090@PCIe5,CPU+GPU,4200,547.0490775542089,8.779657120905943,100,RTX 4090,Xeon-6ch,1,2,,PCIe5,CPU embed
2x6-ch DDR5+RTX 4090@NVLink,CPU+GPU,4200,547.0490775542089,7.988273512017055,100,RTX 4090,Xeon-6ch,1,2,,NVLink,CPU embed
4x6-ch DDR5+RTX 4090@PCIe4,CPU+GPU,6600,1082.781521974643,5.927029828184176,100,RTX 4090,Xeon-6ch,1,4,,PCIe4,CPU embed
4x6-ch DDR5+RTX 4090@PCIe5,CPU+GPU,6600,1082.781521974643,5.075061828184175,100,RTX 4090,Xeon-6ch,1,4,,PCIe5,CPU embed
4x6-ch DDR5+RTX 4090@NVLink,CPU+GPU,6600,1082.781521974643,4.283678219295286,100,RTX 4090,Xeon-6ch,1,4,,NVLink,CPU embed
8x6-ch DDR5+RTX 4090@PCIe4,CPU+GPU,11400,2143.1638813311883,4.055372992094791,100,RTX 4090,Xeon-6ch,1,8,,PCIe4,CPU embed
8x6-ch DDR5+RTX 4090@PCIe5,CPU+GPU,11400,2143.1638813311883,3.203404992094792,100,RTX 4090,Xeon-6ch,1,8,,PCIe5,CPU embed
8x6-ch DDR5+RTX 4090@NVLink,CPU+GPU,11400,2143.1638813311883,2.4120213832059028,100,RTX 4090,Xeon-6ch,1,8,,NVLink,CPU embed
16x6-ch DDR5+RTX 4090@PCIe4,CPU+GPU,21000,2403.846153846154,3.1097638134181134,100,RTX 4090,Xeon-6ch,1,16,,PCIe4,transfer
16x6-ch DDR5+RTX 4090@PCIe5,CPU+GPU,21000,4241.992801896121,2.257795813418113,100,RTX 4090,Xeon-6ch,1,16,,PCIe5,CPU embed
16x6-ch DDR5+RTX 4090@NVLink,CPU+GPU,21000,4241.992801896121,1.466412204529224,100,RTX 4090,Xeon-6ch,1,16,,NVLink,CPU embed
1x6-ch DDR5+RTX 5090@PCIe4,CPU+GPU,3980,276.3832658569501,16.86774552380952,100,RTX 5090,Xeon-6ch,1,1,,PCIe4,CPU embed
1x6-ch DDR5+RTX 5090@PCIe5,CPU+GPU,3980,276.3832658569501,16.015777523809522,100,RTX 5090,Xeon-6ch,1,1,,PCIe5,CPU embed
1x6-ch DDR5+RTX 5090@NVLink,CPU+GPU,3980,276.3832658569501,15.224393914920634,100,RTX 5090,Xeon-6ch,1,1,,NVLink,CPU embed
2x6-ch DDR5+RTX 5090@PCIe4,CPU+GPU,4900,547.0490775542089,9.535190742276443,100,RTX 5090,Xeon-6ch,1,2,,PCIe4,CPU embed
2x6-ch DDR5+RTX 5090@PCIe5,CPU+GPU,4900,547.0490775542089,8.683222742276444,100,RTX 5090,Xeon-6ch,1,2,,PCIe5,CPU embed
2x6-ch DDR5+RTX 5090@NVLink,CPU+GPU,4900,547.0490775542089,7.891839133387554,100,RTX 5090,Xeon-6ch,1,2,,NVLink,CPU embed
4x6-ch DDR5+RTX 5090@PCIe4,CPU+GPU,7300,1082.781521974643,5.830595449554675,100,RTX 5090,Xeon-6ch,1,4,,PCIe4,CPU embed
4x6-ch DDR5+RTX 5090@PCIe5,CPU+GPU,7300,1082.781521974643,4.978627449554675,100,RTX 5090,Xeon-6ch,1,4,,PCIe5,CPU embed
4x6-ch DDR5+RTX 5090@NVLink,CPU+GPU,7300,1082.781521974643,4.1872438406657855,100,RTX 5090,Xeon-6ch,1,4,,NVLink,CPU embed
8x6-ch DDR5+RTX 5090@PCIe4,CPU+GPU,12100,2143.1638813311883,3.9589386134652913,100,RTX 5090,Xeon-6ch,1,8,,PCIe4,CPU embed
8x6-ch DDR5+RTX 5090@PCIe5,CPU+GPU,12100,2143.1638813311883,3.1069706134652915,100,RTX 5090,Xeon-6ch,1,8,,PCIe5,CPU embed
8x6-ch DDR5+RTX 5090@NVLink,CPU+GPU,12100,2143.1638813311883,2.315587004576402,100,RTX 5090,Xeon-6ch,1,8,,NVLink,CPU embed
16x6-ch DDR5+RTX 5090@PCIe4,CPU+GPU,21700,2403.846153846154,3.013329434788613,100,RTX 5090,Xeon-6ch,1,16,,PCIe4,transfer
16x6-ch DDR5+RTX 5090@PCIe5,CPU+GPU,21700,4241.992801896121,2.1613614347886125,100,RTX 5090,Xeon-6ch,1,16,,PCIe5,CPU embed
16x6-ch DDR5+RTX 5090@NVLink,CPU+GPU,21700,4241.992801896121,1.3699778258997235,100,RTX 5090,Xeon-6ch,1,16,,NVLink,CPU embed
1x6-ch DDR5+A100 40GB@PCIe4,CPU+GPU,11480,276.3832658569501,16.764602666666665,100,A100 40GB,Xeon-6ch,1,1,,PCIe4,CPU embed
1x6-ch DDR5+A100 40GB@PCIe5,CPU+GPU,11480,276.3832658569501,15.912634666666664,100,A100 40GB,Xeon-6ch,1,1,,PCIe5,CPU embed
1x6-ch DDR5+A100 40GB@NVLink,CPU+GPU,11480,276.3832658569501,15.121251057777776,100,A100 40GB,Xeon-6ch,1,1,,NVLink,CPU embed
2x6-ch DDR5+A100 40GB@PCIe4,CPU+GPU,12400,547.0490775542089,9.432047885133585,100,A100 40GB,Xeon-6ch,1,2,,PCIe4,CPU embed
2x6-ch DDR5+A100 40GB@PCIe5,CPU+GPU,12400,547.0490775542089,8.580079885133586,100,A100 40GB,Xeon-6ch,1,2,,PCIe5,CPU embed
2x6-ch DDR5+A100 40GB@NVLink,CPU+GPU,12400,547.0490775542089,7.788696276244697,100,A100 40GB,Xeon-6ch,1,2,,NVLink,CPU embed
4x6-ch DDR5+A100 40GB@PCIe4,CPU+GPU,14800,1082.781521974643,5.727452592411818,100,A100 40GB,Xeon-6ch,1,4,,PCIe4,CPU embed
