label,category,cost,throughput_kinfs,latency_ms,embed_gb,gpu,cpu,num_gpus,num_nodes,cgra,interconnect,bottleneck
4xA100 40GB,Multi-GPU,50000,4313.928589733626,0.9494825690317971,100,A100 40GB,,4,0,,,GPU embed
2xA100 80GB,Multi-GPU,33000,3359.171826595527,1.2193481642024957,100,A100 80GB,,2,0,,,GPU embed
4xA100 80GB,Multi-GPU,60000,5148.244309771181,0.7956110381603182,100,A100 80GB,,4,0,,,GPU embed
1x4-ch DDR5+RTX 4060@PCIe4,CPU+GPU,1380,141.87674313990107,32.379065870129864,100,RTX 4060,Xeon-4ch,1,1,,PCIe4,CPU embed
1x4-ch DDR5+RTX 4060@PCIe5,CPU+GPU,1380,141.87674313990107,31.527097870129865,100,RTX 4060,Xeon-4ch,1,1,,PCIe5,CPU embed
1x4-ch DDR5+RTX 4060@NVLink,CPU+GPU,1380,141.87674313990107,30.735714261240975,100,RTX 4060,Xeon-4ch,1,1,,NVLink,CPU embed
2x4-ch DDR5+RTX 4060@PCIe4,CPU+GPU,1900,280.8185264778272,18.094868243766726,100,RTX 4060,Xeon-4ch,1,2,,PCIe4,CPU embed
2x4-ch DDR5+RTX 4060@PCIe5,CPU+GPU,1900,280.8185264778272,17.242900243766726,100,RTX 4060,Xeon-4ch,1,2,,PCIe5,CPU embed
2x4-ch DDR5+RTX 4060@NVLink,CPU+GPU,1900,280.8185264778272,16.451516634877837,100,RTX 4060,Xeon-4ch,1,2,,NVLink,CPU embed
4x4-ch DDR5+RTX 4060@PCIe4,CPU+GPU,3500,555.8278479469835,10.878124167036008,100,RTX 4060,Xeon-4ch,1,4,,PCIe4,CPU embed
4x4-ch DDR5+RTX 4060@PCIe5,CPU+GPU,3500,555.8278479469835,10.026156167036007,100,RTX 4060,Xeon-4ch,1,4,,PCIe5,CPU embed
4x4-ch DDR5+RTX 4060@NVLink,CPU+GPU,3500,555.8278479469835,9.23477255814712,100,RTX 4060,Xeon-4ch,1,4,,NVLink,CPU embed
8x4-ch DDR5+RTX 4060@PCIe4,CPU+GPU,6700,1100.1574590833434,7.232039421407338,100,RTX 4060,Xeon-4ch,1,8,,PCIe4,CPU embed
8x4-ch DDR5+RTX 4060@PCIe5,CPU+GPU,6700,1100.1574590833434,6.380071421407338,100,RTX 4060,Xeon-4ch,1,8,,PCIe5,CPU embed
8x4-ch DDR5+RTX 4060@NVLink,CPU+GPU,6700,1100.1574590833434,5.588687812518449,100,RTX 4060,Xeon-4ch,1,8,,NVLink,CPU embed
16x4-ch DDR5+RTX 4060@PCIe4,CPU+GPU,13100,2177.556304973343,5.389943618790433,100,RTX 4060,Xeon-4ch,1,16,,PCIe4,CPU embed
16x4-ch DDR5+RTX 4060@PCIe5,CPU+GPU,13100,2177.556304973343,4.5379756187904325,100,RTX 4060,Xeon-4ch,1,16,,PCIe5,CPU embed
16x4-ch DDR5+RTX 4060@NVLink,CPU+GPU,13100,2177.556304973343,3.7465920099015433,100,RTX 4060,Xeon-4ch,1,16,,NVLink,CPU embed
1x4-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,1780,141.87674313990107,31.524065870129863,100,RTX PRO 4500,Xeon-4ch,1,1,,PCIe4,CPU embed
1x4-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,1780,141.87674313990107,30.672097870129864,100,RTX PRO 4500,Xeon-4ch,1,1,,PCIe5,CPU embed
1x4-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,1780,141.87674313990107,29.880714261240975,100,RTX PRO 4500,Xeon-4ch,1,1,,NVLink,CPU embed
2x4-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,2300,280.8185264778272,17.239868243766725,100,RTX PRO 4500,Xeon-4ch,1,2,,PCIe4,CPU embed
2x4-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,2300,280.8185264778272,16.387900243766726,100,RTX PRO 4500,Xeon-4ch,1,2,,PCIe5,CPU embed
2x4-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,2300,280.8185264778272,15.596516634877837,100,RTX PRO 4500,Xeon-4ch,1,2,,NVLink,CPU embed
4x4-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,3900,555.8278479469835,10.023124167036007,100,RTX PRO 4500,Xeon-4ch,1,4,,PCIe4,CPU embed
4x4-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,3900,555.8278479469835,9.171156167036006,100,RTX PRO 4500,Xeon-4ch,1,4,,PCIe5,CPU embed
4x4-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,3900,555.8278479469835,8.379772558147119,100,RTX PRO 4500,Xeon-4ch,1,4,,NVLink,CPU embed
8x4-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,7100,1100.1574590833434,6.377039421407338,100,RTX PRO 4500,Xeon-4ch,1,8,,PCIe4,CPU embed
8x4-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,7100,1100.1574590833434,5.525071421407339,100,RTX PRO 4500,Xeon-4ch,1,8,,PCIe5,CPU embed
8x4-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,7100,1100.1574590833434,4.73368781251845,100,RTX PRO 4500,Xeon-4ch,1,8,,NVLink,CPU embed
16x4-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,13500,2177.556304973343,4.534943618790432,100,RTX PRO 4500,Xeon-4ch,1,16,,PCIe4,CPU embed
16x4-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,13500,2177.556304973343,3.6829756187904326,100,RTX PRO 4500,Xeon-4ch,1,16,,PCIe5,CPU embed
16x4-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,13500,2177.556304973343,2.8915920099015433,100,RTX PRO 4500,Xeon-4ch,1,16,,NVLink,CPU embed
1x4-ch DDR5+RTX 4090@PCIe4,CPU+GPU,2880,141.87674313990107,31.01430977256889,100,RTX 4090,Xeon-4ch,1,1,,PCIe4,CPU embed
1x4-ch DDR5+RTX 4090@PCIe5,CPU+GPU,2880,141.87674313990107,30.16234177256889,100,RTX 4090,Xeon-4ch,1,1,,PCIe5,CPU embed
1x4-ch DDR5+RTX 4090@NVLink,CPU+GPU,2880,141.87674313990107,29.37095816368,100,RTX 4090,Xeon-4ch,1,1,,NVLink,CPU embed
2x4-ch DDR5+RTX 4090@PCIe4,CPU+GPU,3400,280.8185264778272,16.73011214620575,100,RTX 4090,Xeon-4ch,1,2,,PCIe4,CPU embed
2x4-ch DDR5+RTX 4090@PCIe5,CPU+GPU,3400,280.8185264778272,15.878144146205749,100,RTX 4090,Xeon-4ch,1,2,,PCIe5,CPU embed
2x4-ch DDR5+RTX 4090@NVLink,CPU+GPU,3400,280.8185264778272,15.086760537316861,100,RTX 4090,Xeon-4ch,1,2,,NVLink,CPU embed
4x4-ch DDR5+RTX 4090@PCIe4,CPU+GPU,5000,555.8278479469835,9.513368069475032,100,RTX 4090,Xeon-4ch,1,4,,PCIe4,CPU embed
4x4-ch DDR5+RTX 4090@PCIe5,CPU+GPU,5000,555.8278479469835,8.66140006947503,100,RTX 4090,Xeon-4ch,1,4,,PCIe5,CPU embed
4x4-ch DDR5+RTX 4090@NVLink,CPU+GPU,5000,555.8278479469835,7.870016460586143,100,RTX 4090,Xeon-4ch,1,4,,NVLink,CPU embed
8x4-ch DDR5+RTX 4090@PCIe4,CPU+GPU,8200,1100.1574590833434,5.867283323846363,100,RTX 4090,Xeon-4ch,1,8,,PCIe4,CPU embed
8x4-ch DDR5+RTX 4090@PCIe5,CPU+GPU,8200,1100.1574590833434,5.015315323846363,100,RTX 4090,Xeon-4ch,1,8,,PCIe5,CPU embed
8x4-ch DDR5+RTX 4090@NVLink,CPU+GPU,8200,1100.1574590833434,4.223931714957474,100,RTX 4090,Xeon-4ch,1,8,,NVLink,CPU embed
16x4-ch DDR5+RTX 4090@PCIe4,CPU+GPU,14600,2177.556304973343,4.025187521229457,100,RTX 4090,Xeon-4ch,1,16,,PCIe4,CPU embed
16x4-ch DDR5+RTX 4090@PCIe5,CPU+GPU,14600,2177.556304973343,3.173219521229457,100,RTX 4090,Xeon-4ch,1,16,,PCIe5,CPU embed
16x4-ch DDR5+RTX 4090@NVLink,CPU+GPU,14600,2177.556304973343,2.3818359123405677,100,RTX 4090,Xeon-4ch,1,16,,NVLink,CPU embed
1x4-ch DDR5+RTX 5090@PCIe4,CPU+GPU,3580,141.87674313990107,30.917875393939386,100,RTX 5090,Xeon-4ch,1,1,,PCIe4,CPU embed
1x4-ch DDR5+RTX 5090@PCIe5,CPU+GPU,3580,141.87674313990107,30.065907393939387,100,RTX 5090,Xeon-4ch,1,1,,PCIe5,CPU embed
